feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
PUB-000001,5,V4_C5,0,C0
PUB-000002,3,V4_C3,8,C3.1
PUB-000003,3,V4_C3,8,C3.1
PUB-000004,5,V4_C5,0,C0
PUB-000005,3,V4_C3,7,C3.0
PUB-000006,3,V4_C3,7,C3.0
PUB-000007,3,V4_C3,7,C3.0
PUB-000008,5,V4_C5,0,C0
PUB-000009,3,V4_C3,8,C3.1
PUB-000010,5,V4_C5,0,C0
PUB-000011,3,V4_C3,7,C3.0
PUB-000012,4,V4_C4,6,C2
PUB-000013,5,V4_C5,0,C0
PUB-000014,4,V4_C4,6,C2
PUB-000015,5,V4_C5,0,C0
PUB-000016,4,V4_C4,6,C2
PUB-000017,3,V4_C3,7,C3.0
PUB-000018,4,V4_C4,6,C2
PUB-000019,4,V4_C4,6,C2
PUB-000020,3,V4_C3,8,C3.1
PUB-000021,5,V4_C5,0,C0
PUB-000022,4,V4_C4,6,C2
PUB-000023,3,V4_C3,7,C3.0
PUB-000024,4,V4_C4,6,C2
PUB-000025,4,V4_C4,6,C2
PUB-000026,4,V4_C4,6,C2
PUB-000027,5,V4_C5,0,C0
PUB-000028,4,V4_C4,6,C2
PUB-000029,4,V4_C4,6,C2
PUB-000030,5,V4_C5,0,C0
PUB-000031,3,V4_C3,7,C3.0
PUB-000032,5,V4_C5,0,C0
PUB-000033,4,V4_C4,6,C2
PUB-000034,4,V4_C4,6,C2
PUB-000035,3,V4_C3,8,C3.1
PUB-000036,4,V4_C4,6,C2
PUB-000037,3,V4_C3,8,C3.1
PUB-000038,4,V4_C4,6,C2
PUB-000039,5,V4_C5,0,C0
PUB-000040,5,V4_C5,0,C0
PUB-000041,4,V4_C4,6,C2
PUB-000042,4,V4_C4,6,C2
PUB-000043,5,V4_C5,0,C0
PUB-000044,4,V4_C4,6,C2
PUB-000045,5,V4_C5,0,C0
PUB-000046,5,V4_C5,0,C0
PUB-000047,4,V4_C4,6,C2
PUB-000048,5,V4_C5,0,C0
PUB-000049,4,V4_C4,6,C2
PUB-000050,3,V4_C3,8,C3.1
PUB-000051,3,V4_C3,8,C3.1
PUB-000052,4,V4_C4,6,C2
PUB-000053,4,V4_C4,6,C2
PUB-000054,4,V4_C4,6,C2
PUB-000055,5,V4_C5,0,C0
PUB-000056,5,V4_C5,0,C0
PUB-000057,4,V4_C4,6,C2
PUB-000058,5,V4_C5,0,C0
PUB-000059,3,V4_C3,7,C3.0
PUB-000060,4,V4_C4,6,C2
PUB-000061,5,V4_C5,0,C0
PUB-000062,4,V4_C4,6,C2
PUB-000063,4,V4_C4,6,C2
PUB-000064,3,V4_C3,8,C3.1
PUB-000065,4,V4_C4,6,C2
PUB-000066,4,V4_C4,6,C2
PUB-000067,5,V4_C5,0,C0
PUB-000068,5,V4_C5,0,C0
PUB-000069,5,V4_C5,0,C0
PUB-000070,3,V4_C3,7,C3.0
PUB-000071,5,V4_C5,0,C0
PUB-000072,4,V4_C4,6,C2
PUB-000073,4,V4_C4,6,C2
PUB-000074,4,V4_C4,6,C2
PUB-000075,4,V4_C4,6,C2
PUB-000076,3,V4_C3,7,C3.0
PUB-000077,3,V4_C3,8,C3.1
PUB-000078,3,V4_C3,7,C3.0
PUB-000079,5,V4_C5,0,C0
PUB-000080,5,V4_C5,0,C0
PUB-000081,5,V4_C5,0,C0
PUB-000082,4,V4_C4,6,C2
PUB-000083,5,V4_C5,0,C0
PUB-000084,4,V4_C4,6,C2
PUB-000085,5,V4_C5,0,C0
PUB-000086,3,V4_C3,8,C3.1
PUB-000087,3,V4_C3,7,C3.0
PUB-000088,1,V4_C1,11,C5.0
PUB-000089,5,V4_C5,0,C0
PUB-000090,5,V4_C5,0,C0
PUB-000091,3,V4_C3,7,C3.0
PUB-000092,5,V4_C5,0,C0
PUB-000093,5,V4_C5,0,C0
PUB-000094,4,V4_C4,6,C2
PUB-000095,4,V4_C4,6,C2
